ADMN	Administration
ARCH	Architecture
ARTS	Arts
ASTR	Astronomy
BCBP	Biochemistry and Biophysics
BIOL	Biology
BMED	Biomedical Engineering
CHEM	Chemistry
CHME	Chemical Engineering
CIVL	Civil Engineering
COGS	Cognitive Science
COMM	Communication
COOP	Cooperative Education
CSCI	Computer Science
ECON	Economics
ECSE	Electrical, Computer, and Systems Engineering
ENGR	General Engineering
ENVE	Environmental Engineering
EPOW	Electrical, Computer, and Systems Engineering
ERTH	Earth and Environmental Sciences
ESCI	Engineering Science
EXCH	Exchange (Study Abroad)
IENV	Interdisciplinary Environmental
IHSS	Interdisciplinary Studies
ISCI	Interdisciplinary Science
ISYE	Industrial and Systems Engineering
ITWS	Information Technology and Web Science
LANG	Foreign Languages
LGHT	Lighting
LITR	Literature
MANE	Mechanical, Aerospace, and Nuclear Engineering
MATH	Mathematics
MATP	Mathematical Programming, Probability, and Statistics
MGMT	Management
MTLE	Materials Science and Engineering
PHIL	Philosophy
PHYS	Physics
PSYC	Psychology
STSH	Science and Technology Studies (Humanities Courses)
STSS	Science and Technology Studies (Social Sciences Courses)
USAF	Aerospace Studies (Air Force ROTC)
USAR	Military Science (Army ROTC)
USNA	Naval Science (Navy ROTC)
WRIT	Writing
